Matrix_index,Skill
0,a team oriented mentality
1,ability for analytical thinking
2,ability for long working hours
3,ability for multitasking under tight deadlines
4,ability for results orientation
5,ability for strategic thinking
6,ability of monitoring results assessment
7,ability of training results assessment
8,ability to achieve results
9,ability to adapt to dynamic business environment
10,ability to adapt to rapidly changing situations
11,ability to adapt
12,ability to adhere to deadlines
13,ability to anticipate and prevent problems
14,ability to anticipate problems
15,ability to appropriately make decisions
16,ability to articulate problems
17,ability to be a member of a team
18,ability to be affirmative
19,ability to be flexible in demanding situations
20,ability to be flexible
21,ability to be part of a big team
22,ability to be part of a multicultural team
23,ability to build and maintain lasting client relationships
24,ability to build partnership
25,ability to carry out numerous tasks
26,ability to clearly articulate problems
27,ability to communicate effectively at all levels
28,ability to communicate on telephone
29,ability to communicate with clients
30,ability to communicate with multinational groups
31,ability to complete assigned tasks according to deadlines
32,ability to complete assigned tasks
33,ability to complete tasks according to deadlines
34,ability to complete work according to deadlines
35,ability to concisely articulate problems
36,ability to contribute to project teams
37,ability to cooperation
38,ability to coordinate marketing
39,ability to coordinate project staff
40,ability to coordinate
41,ability to cope with stress
42,ability to demonstrate a sense of urgency to achieve goals
43,ability to demonstrate creativity to problem solving
44,ability to epxress thoughts
45,ability to establish connections with new retailers
46,ability to establish connections
47,ability to establish working relationships
48,ability to exchange ideas
49,ability to express thoughts clearly
50,ability to focus on details
51,ability to focus on meet deadlines
52,ability to focus on multiple tasks
53,ability to focus on priorities
54,ability to foster a spirit of unity
55,ability to get along with people
56,ability to get fun solving technical problems
57,ability to grasp a problem
58,ability to handle multiple priorities
59,ability to handle multiple tasks simultaneously
60,ability to handle multiple tasks while adhering to deadlines
61,ability to handle quick turnaround
62,ability to handle simultaneous multiple projects
63,ability to handle tight deadlines
64,ability to identify problems
65,ability to independently manage multiple projects at once
66,ability to lead in a team environment
67,ability to lead people
68,ability to lead project teams
69,ability to lead resultsbased management
70,ability to lead strategic planning
71,ability to learn easily
72,ability to maintain a spirit of unity
73,ability to maintain confidentiality of the information
74,ability to make decisions
75,ability to make trade offs
76,ability to manage a team
77,ability to manage people
78,ability to manage project teams
79,ability to manage time
80,ability to manage
81,ability to meet a schedule
82,ability to meet deadlines under pressure
